pH,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,media,organism
9.88666667,-8.77,-20.4,-12.4,-13.4,-13.9,-16.2,-10.1,-19.6,-18.3,MgCl,P.fluorescens
4.11,-7.8,-7.71,-7.78,-7.93,-7.7,-8.09,-5.51,-5.8,-5.9,HA,P.fluorescens
4.95,-8.745,-7.91,-8.86,-7.84,-9.02,-9.46,-7.8,-7.12,-7.57,HA,P.fluorescens
5.97333333,-9.88,-8.67,-10.775,-10.7,-9.28,-9.9,-9.43,-8.2,-9.99,HA,P.fluorescens
6.71666667,-12.1,-10.3,-11.365,-17.1,-8.19,-9.26,-13.9,-11.5,-10.5,HA,P.fluorescens
7.605,-13.7,-9.845,-24,-17.3,-16.3,-9.17,-12.5,-13.8,-12.4,HA,P.fluorescens
8.94333333,-10.2,-12.2,-21.6,-20.7,-10.7,-19.7,-20.8,-26.7,-25.8,HA,P.fluorescens
9.92666667,-18.8,-9.66,-19.1,-7.28,-25.2,-23.8,-24.3,-27.4,-19.2,HA,P.fluorescens
4.00666667,-1.56,-1.1,0.0563,-1.35,-1.22,-0.636,-1.61,-2.34,-0.603,PBS,S.cerevisiae
4.78,-5.19,-4.72,-3.71,-3.7,-3.62,-3.78,-5.66,-4.6,-7.42,PBS,S.cerevisiae
6.00666667,-5.16,-3.36,-6.46,-9.05,-5.73,-8.05,-8.01,-11.1,-5.01,PBS,S.cerevisiae
6.945,-6.56,-8.61,-8.31,-10,-5.39,-5.56,-8.78,-7.18,-6.78,PBS,S.cerevisiae
7.99333333,-6.45,-6.76,-10.2,-8.93,-9.05,-7.75,-8.86,-7.48,-7.15,PBS,S.cerevisiae
8.84333333,-8.84,-7.47,-6.15,-8.88,-9.03,-6,-10.1,-11.2,-11.5,PBS,S.cerevisiae
9.79666667,-9.66,-11,-12,-11.4,-10.7,-12.5,-10.5,-12.1,-8.88,PBS,S.cerevisiae
10.2633333,-9.8,-9,-9.58,-10.6,-9.46,-13.3,-9.65,-9.23,-14,PBS,S.cerevisiae
3.85666667,-1.53,-3.06,-4.58,0.0974,-0.44,-3.28,-1.93,-0.77,-2.39,NaCl,S.cerevisiae
4.57333333,-2.33,-1.63,-2.56,-1.53,-2.29,-2.21,-2.05,-2.75,-3.91,NaCl,S.cerevisiae
5.94666667,-0.155,-5.92,-6.49,-5.93,-6.01,-0.8145,-4.69,-4.62,-5.25,NaCl,S.cerevisiae
6.88166667,-5.74,-6.54,-8.01,-6.9,-5.6,-8.13,-5.89,-5.6,-7.45,NaCl,S.cerevisiae
7.55333333,-4.56,-6.75,-5.89,-5.2,-6.11,-6.12,-3.34,-6.15,-4.99,NaCl,S.cerevisiae
